Ticker,Name,Country,parent,Comments
TSLA,Tesla,USA,,
F,Ford,USA,Ford Motor Co,owns Ford and Lincoln
FCAU,Fiat Chrysler,USA,Fiat Chrysler Automobiles,"owns Alfa Romeo, Chrysler, Dodge, Fiat, Jeep, Maserati, and Ram"
GM,GM,USA,General Motors,"owns Buick, Cadillac, Chevrolet, and GMC"
DAI.DE,Mercedes,GER,Daimler AG,owns Mercedes-Benz and Smart
BMWYY,BMW,GER,BMW Group,"owns BMW, Mini, and Rolls-Royce"
AUDVF,Audi,GER,Volkswagen Group," owns Audi, Bentley, Bugatti, Lamborghini, Porsche, and Volkswagen"
VWAGY,Volkswagen,GER,Volkswagen Group," owns Audi, Bentley, Bugatti, Lamborghini, Porsche, and Volkswagen"
TM,Toyota,JPN,Toyota Motor Corp,owns Lexus and Toyota
NSANY,"Nissan Motor Co., Ltd.",JPN,Renault-Nissan-Mitsubishi Alliance,"owns Nissan, Infinity, Datsun"
HMC,Honda,JPN,Honda Motor Co,owns Acura and Honda
FUJHY,Subaru,JPN,Subaru Corp,owns Subaru
MMTOF,Mitsubishi Motors Corporation,JPN,Renault-Nissan-Mitsubishi Alliance,
MZDAY,Mazda,JPN,Mazda Motor Corp,owns Mazda
HYMTF,Hyundai,KOR,Hyundai Motor Group,"owns Genesis, Hyundai, and Kia"
TTM,Tata,IND,Tata Motors,owns Jaguar and Land Rover
VLVLY,Volvo,SWE,Zhejiang Geely Holding Group (ZGH),"owns Lotus, Polestar, and Volvo"
RNO.PA,Renault,FRA,Renault-Nissan-Mitsubishi Alliance,
